Country or Territory,Country Code,Indicator Name,Indicator Code,Year,Population,Last5Years,Region,IncomeGroup,Pop15_64_pct,NetMigration,BirthRate,DeathRate
Aruba,ABW,"Population, total",SP.POP.TOTL,1960,54922,FALSE,Latin America & Caribbean,High income,54.6320235971013,-788,32.043,7.525
Aruba,ABW,"Population, total",SP.POP.TOTL,1961,55578,FALSE,Latin America & Caribbean,High income,54.9538040789154,-566,31.225,7.347
Aruba,ABW,"Population, total",SP.POP.TOTL,1962,56320,FALSE,Latin America & Caribbean,High income,55.2308238636364,-601,30.386,7.066
Aruba,ABW,"Population, total",SP.POP.TOTL,1963,57002,FALSE,Latin America & Caribbean,High income,55.6187117882863,-650,29.635,6.863
Aruba,ABW,"Population, total",SP.POP.TOTL,1964,57619,FALSE,Latin America & Caribbean,High income,56.1316579600479,-682,28.846,6.689
Aruba,ABW,"Population, total",SP.POP.TOTL,1965,58190,FALSE,Latin America & Caribbean,High income,56.7039010139199,-727,28.24,6.572
Aruba,ABW,"Population, total",SP.POP.TOTL,1966,58694,FALSE,Latin America & Caribbean,High income,57.2770872909728,-762,27.421,6.384
Aruba,ABW,"Population, total",SP.POP.TOTL,1967,58990,FALSE,Latin America & Caribbean,High income,57.6465702104576,-1066,26.708,6.348
Aruba,ABW,"Population, total",SP.POP.TOTL,1968,59069,FALSE,Latin America & Caribbean,High income,57.7971711289244,-1128,25.775,6.263
Aruba,ABW,"Population, total",SP.POP.TOTL,1969,59052,FALSE,Latin America & Caribbean,High income,57.9243717401612,-1165,24.801,6.186
Aruba,ABW,"Population, total",SP.POP.TOTL,1970,58950,FALSE,Latin America & Caribbean,High income,58.074995123027,-1189,23.957,6.127
Aruba,ABW,"Population, total",SP.POP.TOTL,1971,58781,FALSE,Latin America & Caribbean,High income,58.3059007664106,-1205,23.239,6.079
Aruba,ABW,"Population, total",SP.POP.TOTL,1972,58047,FALSE,Latin America & Caribbean,High income,58.8890492482448,-548,20.69,4.738
Aruba,ABW,"Population, total",SP.POP.TOTL,1973,58299,FALSE,Latin America & Caribbean,High income,59.7841357437895,-308,17.204,4.923
Aruba,ABW,"Population, total",SP.POP.TOTL,1974,58349,FALSE,Latin America & Caribbean,High income,60.6907621170287,-240,16.487,5.107
Aruba,ABW,"Population, total",SP.POP.TOTL,1975,58295,FALSE,Latin America & Caribbean,High income,61.5876670092497,-287,16.605,4.906
Aruba,ABW,"Population, total",SP.POP.TOTL,1976,58368,FALSE,Latin America & Caribbean,High income,62.4895954040247,-701,16.122,5.14
Aruba,ABW,"Population, total",SP.POP.TOTL,1977,58580,FALSE,Latin America & Caribbean,High income,63.3285103477427,-728,16.951,5.463
Aruba,ABW,"Population, total",SP.POP.TOTL,1978,58776,FALSE,Latin America & Caribbean,High income,64.0378165556798,-745,18.001,4.832
Aruba,ABW,"Population, total",SP.POP.TOTL,1979,59191,FALSE,Latin America & Caribbean,High income,64.6390719917281,-758,17.993,5.372
Aruba,ABW,"Population, total",SP.POP.TOTL,1980,59909,FALSE,Latin America & Caribbean,High income,65.0953432518255,-756,18.778,4.807
Aruba,ABW,"Population, total",SP.POP.TOTL,1981,60563,FALSE,Latin America & Caribbean,High income,65.3149391321106,-547,17.354,5.234
Aruba,ABW,"Population, total",SP.POP.TOTL,1982,61276,FALSE,Latin America & Caribbean,High income,65.4815488731405,-413,16.907,5.108
Aruba,ABW,"Population, total",SP.POP.TOTL,1983,62228,FALSE,Latin America & Caribbean,High income,65.7199686194955,-405,18.207,5.448
Aruba,ABW,"Population, total",SP.POP.TOTL,1984,62901,FALSE,Latin America & Caribbean,High income,65.9860247835575,-535,18.585,5.135
Aruba,ABW,"Population, total",SP.POP.TOTL,1985,61728,FALSE,Latin America & Caribbean,High income,66.3619298948344,-751,17.966,5.411
